time,lat,lon,SPM,TUR,CHL,site
2022-04-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-15,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-23,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-28,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-29,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-15,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-23,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-28,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-29,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-05-31,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-15,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-23,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-28,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-29,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-06-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-07-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
